tournament,packet,qid,answerline,has_image,has_audio,plays,human_first_buzz_n,human_first_buzz_fraction,human_first_correct_n,human_first_buzz_accuracy,human_observed_solve_per_play,human_avg_position,question_max_position,human_avg_position_fraction,standalone_ai_n,standalone_ai_correct_n,standalone_ai_policy_solve_accuracy,standalone_ai_terminal_correct_n,standalone_ai_terminal_accuracy,raw_human_minus_ai_gap,wilson_conservative_gap,beta11_strict_adversarial_yield,logged_ai_first_exposure_n,logged_ai_first_evaluable_n,logged_ai_first_correct_equiv_n,logged_ai_first_accuracy_tie_averaged,logged_ai_first_avg_position,logged_ai_first_avg_position_fraction,logged_ai_first_tied_play_n,evidence_flag,interpretation_note,adversarial_rank
combined,1,advvqa-packet1-t-5PMM62rTZCur1sGVOjE4,<b>__**French**__ or __**français**__</b>,True,False,5,1,0.2,1,1.0,0.2,52.0,118,0.440678,13,0,0.0,0,0.0,0.2,-0.191871,0.266667,5,5,0.0,0.0,14.6,0.123729,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,24
combined,1,advvqa-packet1-t-5bTYZUD1fC8LxDPNbeBz,<b>Hill Valley</b>,True,False,5,0,0.0,0,,0.0,,84,,13,10,0.769231,13,1.0,-0.769231,-0.918205,0.038095,5,5,3.0,0.6,21.2,0.252381,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,96
combined,1,advvqa-packet1-t-6EaYU85nVBNW6DcPqaA5,<b>Singapore</b>,True,False,5,5,1.0,5,1.0,1.0,47.8,83,0.575904,13,9,0.692308,13,1.0,0.307692,-0.307675,0.285714,5,5,3.167,0.633333,18.2,0.219277,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,31
combined,1,advvqa-packet1-t-8JAFUITLrwZCMFkrmP6L,<b>_Apollo_ Mission</b>,True,False,5,4,0.8,4,1.0,0.8,65.5,86,0.761628,13,6,0.461538,9,0.692308,0.338462,-0.333027,0.380952,5,5,1.0,0.2,18.2,0.211628,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,33
combined,1,advvqa-packet1-t-Em8Ctxhz4bo7N65jONWg,<b>London</b>,True,False,5,4,0.8,2,0.5,0.4,66.5,91,0.730769,13,10,0.769231,13,1.0,-0.369231,-0.800584,0.114286,5,5,1.0,0.2,28.0,0.307692,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,84
combined,1,advvqa-packet1-t-Gwbxzd0ChGS4KynANjU5,<b>Thirty-six Views of Mount _Fuji_</b>,True,False,5,3,0.6,2,0.666667,0.4,55.333,86,0.643411,13,6,0.461538,0,0.0,-0.061538,-0.590941,0.228571,5,5,1.667,0.333333,28.4,0.330233,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,56
combined,1,advvqa-packet1-t-GzYzrmbzHeXtPnp56Z10,<b>New Jersey</b>,True,False,5,3,0.6,2,0.666667,0.4,63.333,145,0.436782,13,6,0.461538,13,1.0,-0.061538,-0.590941,0.228571,5,5,0.0,0.0,23.6,0.162759,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,57
combined,1,advvqa-packet1-t-I2QtfMpPDixkYknKBme8,"<b>Washington, D.C.</b>",True,False,5,3,0.6,2,0.666667,0.4,33.667,99,0.340067,13,10,0.769231,13,1.0,-0.369231,-0.800584,0.114286,4,4,3.0,0.75,22.25,0.224747,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,85
combined,1,advvqa-packet1-t-LcvtxyoXMR6SDbyJhf4B,<b>Groundhog Day</b>,True,False,5,3,0.6,2,0.666667,0.4,44.0,113,0.389381,13,10,0.769231,13,1.0,-0.369231,-0.800584,0.114286,5,5,3.0,0.6,13.2,0.116814,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,86
combined,1,advvqa-packet1-t-MEpRrGXZymdGUYb2wAfM,<b>Cholera</b>,True,False,5,2,0.4,2,1.0,0.4,60.5,102,0.593137,13,13,1.0,13,1.0,-0.6,-0.882379,0.028571,5,5,5.0,1.0,17.0,0.166667,4,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,95
combined,1,advvqa-packet1-t-NpuyoBsTcOckEOeIVITg,<b>Chinatown (accept equivalents)</b>,True,False,5,3,0.6,2,0.666667,0.4,48.333,102,0.473856,13,0,0.0,0,0.0,0.4,-0.110475,0.4,4,4,0.0,0.0,23.0,0.22549,0,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,17
combined,1,advvqa-packet1-t-Pv4vwLpJWiSpu6CJVx1x,"<b>Disney World [accept _Walt Disney World_, _Walt Disney World Resort_]</b>",True,False,5,3,0.6,2,0.666667,0.4,46.333,68,0.681373,13,0,0.0,0,0.0,0.4,-0.110475,0.4,5,5,0.0,0.0,13.0,0.191176,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,18
combined,1,advvqa-packet1-t-RymSumAaUKDKnumFbZLb,<b>_Around the World in 80 Days_ or _Le Tour du monde en quatre-vingts jours_</b>,True,False,5,3,0.6,3,1.0,0.6,42.333,89,0.475655,13,0,0.0,0,0.0,0.6,0.002629,0.533333,5,5,0.0,0.0,22.0,0.247191,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,7
combined,1,advvqa-packet1-t-WWi7fNWTDIPJe3p9Pi2c,<b>Battle of Waterloo</b>,True,False,5,4,0.8,4,1.0,0.8,41.75,100,0.4175,13,11,0.846154,11,0.846154,-0.046154,-0.581207,0.142857,5,5,3.0,0.6,16.4,0.164,3,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,55
combined,1,advvqa-packet1-t-dqshJgJWfziosu0GhtIh,<b>New York City</b>,True,False,5,4,0.8,1,0.25,0.2,25.75,90,0.286111,13,8,0.615385,13,1.0,-0.415385,-0.786679,0.114286,5,5,1.0,0.2,17.0,0.188889,2,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,79
combined,1,advvqa-packet1-t-hXDm3m6AEpv2TxJ0HKdZ,<b>Lithuania</b>,True,False,5,3,0.6,1,0.333333,0.2,45.333,79,0.57384,13,10,0.769231,13,1.0,-0.569231,-0.881981,0.07619,5,5,3.0,0.6,21.2,0.268354,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,93
combined,1,advvqa-packet1-t-vgzdaVOKiGQUuC8gSLqa,<b>University of _Illinois_ Urbana-Champaign</b>,True,False,5,2,0.4,1,0.5,0.2,61.0,66,0.924242,13,9,0.692308,8,0.615385,-0.492308,-0.836969,0.095238,5,5,1.0,0.2,19.4,0.293939,1,moderate,Human solve/play is live and censored by earlier game resolution; standalone AI uses each fixed-roster model's own first-buzz policy (no buzz counts unsolved).,89
