tournament,packet,qid,bpid,part_number,answerline,plays,human_directed_n,human_directed_fraction,human_directed_correct_n,human_directed_accuracy,consulted_n,consulted_fraction,consulted_final_correct_n,consulted_final_accuracy,consult_initial_guess_present_n,abstain_n,abstain_fraction,successful_abstain_n,abstain_precision,standalone_ai_n,standalone_ai_correct_n,standalone_ai_accuracy,raw_directed_minus_ai_gap,wilson_conservative_gap,beta11_strict_adversarial_yield,coverage_aware_directed_minus_ai_gap,consulted_final_minus_ai_delta,evidence_flag,interpretation_note,adversarial_rank
combined,1,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#1,1,<b>_Elder Scrolls V_: _Skyrim_ (Accept either underlined part)</b>,5,5,1.0,5,1.0,0,0.0,0,,0,0,0.0,0,,10,0,0.0,1.0,0.287985,0.785714,1.0,,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",1
combined,1,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#2,2,"<b>_Grand Theft Auto IV_: Liberty City (accept _GTA4_, prompt on _Liberty City_)</b>",5,2,0.4,2,1.0,2,0.4,2,1.0,2,1,0.2,1,1.0,10,0,0.0,1.0,0.064847,0.6875,0.4,1.0,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#3,3,<b>Zelda: _Breath of the Wild_</b>,5,3,0.6,3,1.0,1,0.2,1,1.0,1,1,0.2,1,1.0,10,6,0.6,0.4,-0.393317,0.333333,0.0,0.4,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",97
combined,1,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#1,1,<b>Middlesex</b>,5,1,0.2,1,1.0,2,0.4,2,1.0,1,2,0.4,2,1.0,10,5,0.5,0.5,-0.556858,0.333333,-0.3,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#2,2,<b>Executioner's Song</b>,5,2,0.4,0,0.0,2,0.4,2,1.0,0,1,0.2,1,1.0,10,5,0.5,-0.5,-0.763407,0.125,-0.5,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#3,3,<b>A Confederacy of Dunces</b>,5,3,0.6,3,1.0,2,0.4,2,1.0,0,0,0.0,0,,10,5,0.5,0.5,-0.324904,0.4,0.1,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",69
combined,1,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#1,1,<b>Swiss</b>,5,2,0.4,0,0.0,2,0.4,1,0.5,0,1,0.2,1,1.0,10,3,0.3,-0.3,-0.603222,0.166667,-0.3,0.2,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#2,2,<b>Qantas</b>,5,3,0.6,3,1.0,1,0.2,1,1.0,1,1,0.2,1,1.0,10,4,0.4,0.6,-0.248823,0.466667,0.2,0.6,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",49
combined,1,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#3,3,"<b>Air _Koryo_ (prompt on ""North Korea"")</b>",5,1,0.2,0,0.0,2,0.4,1,0.5,2,2,0.4,2,1.0,10,0,0.0,0.0,-0.277533,0.305556,0.0,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#1,1,<b>Kon-Tiki</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,0,0,0.0,0,,10,5,0.5,0.5,-0.421027,0.375,-0.1,0.5,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#2,2,<b>HMS _Beagle_</b>,5,3,0.6,2,0.666667,2,0.4,1,0.5,0,0,0.0,0,,10,5,0.5,0.166667,-0.555747,0.3,-0.1,0.0,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",117
combined,1,advvqa-packet1-b-L70hk4QrJWj64qPc4c56,advvqa-packet1-b-L70hk4QrJWj64qPc4c56#3,3,<b>RMS _Lusitania_</b>,5,2,0.4,2,1.0,3,0.6,3,1.0,0,0,0.0,0,,10,2,0.2,0.8,-0.167457,0.5625,0.2,0.8,insufficient,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",
combined,1,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u#1,1,<b>Portuguese</b>,5,4,0.8,4,1.0,1,0.2,1,1.0,0,0,0.0,0,,10,5,0.5,0.5,-0.253298,0.416667,0.3,0.5,moderate,"Directed and consulted decisions are self-selected; consulted accuracy is the final human+AI team answer, not standalone AI accuracy.",51
