tournament,packet,qid,observed_parts,total_plays,total_directed_n,total_consulted_n,total_abstain_n,mean_part_human_directed_accuracy,mean_part_standalone_ai_accuracy,mean_part_raw_directed_minus_ai_gap,mean_part_wilson_conservative_gap,mean_part_beta11_strict_adversarial_yield,mean_part_consulted_final_accuracy,mean_part_consulted_final_minus_ai_delta,mean_part_abstain_precision,evidence_flag,adversarial_rank
combined,1,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,3,15,10,3,2,1.0,0.2,0.8,-0.013495,0.602182,1.0,0.7,1.0,limited,4
combined,1,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,3,15,6,6,3,0.666667,0.5,0.166667,-0.54839,0.286111,1.0,0.5,1.0,limited,101
combined,1,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,3,15,6,5,4,0.333333,0.233333,0.1,-0.376526,0.312963,0.666667,0.433333,1.0,limited,66
combined,1,advvqa-packet1-b-L70hk4QrJWj64qPc4c56,3,15,7,8,0,0.888889,0.4,0.488889,-0.38141,0.4125,0.833333,0.433333,,limited,67
combined,1,advvqa-packet1-b-Q8OEIjk5e00HUt7qls1u,3,15,12,3,0,0.822222,0.233333,0.588889,-0.152491,0.507143,0.75,0.4,,moderate,15
combined,1,advvqa-packet1-b-Qdb1qVk8sQdta9OwFiiN,3,15,13,1,1,1.0,0.5,0.5,-0.240227,0.419047,1.0,0.5,1.0,moderate,29
combined,1,advvqa-packet1-b-W17Ks8EjNHFPE9YOOIjb,3,15,6,7,2,0.833333,0.266667,0.566667,-0.290965,0.444444,0.666667,0.4,1.0,limited,39
combined,1,advvqa-packet1-b-bVLhSOrl0rOBuoOxwKA4,3,15,8,5,2,0.5,0.033333,0.466667,-0.198511,0.441667,0.166667,0.133333,1.0,limited,22
combined,1,advvqa-packet1-b-fPFqEVUWBAK4x0xycyA7,3,15,9,6,0,0.833333,0.433333,0.4,-0.362298,0.401852,0.666667,0.233333,,limited,58
combined,1,advvqa-packet1-b-jD5KSAX5YOrDSojl9lEu,3,15,5,8,2,0.666667,0.0,0.666667,-0.145662,0.509259,0.611111,0.611111,1.0,limited,13
