qid,bpid,part_number,answerline,plays,parts,directed_count,directed_fraction,directed_accuracy,consulted_count,consulted_fraction,consulted_accuracy,abstain_count,abstain_fraction,abstain_accuracy
advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#1,1,<b>_Elder Scrolls V_: _Skyrim_ (Accept either underlined part)</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#2,2,"<b>_Grand Theft Auto IV_: Liberty City (accept _GTA4_, prompt on _Liberty City_)</b>",5,5,2,0.400000,1.000000,2,0.400000,1.000000,1,0.200000,1.000000
advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE,advvqa-packet1-b-0SeXVHLwDmbtOYEld4kE#3,3,<b>Zelda: _Breath of the Wild_</b>,5,5,3,0.600000,1.000000,1,0.200000,1.000000,1,0.200000,1.000000
advvqa-packet1-b-1yNiVz7Urt147ll9mJRl,advvqa-packet1-b-1yNiVz7Urt147ll9mJRl#1,1,<b>Phnom Penh</b>,5,5,5,1.000000,0.800000,0,0.000000,,0,0.000000,
advvqa-packet1-b-1yNiVz7Urt147ll9mJRl,advvqa-packet1-b-1yNiVz7Urt147ll9mJRl#2,2,<b>Dili</b>,5,5,2,0.400000,1.000000,3,0.600000,1.000000,0,0.000000,
advvqa-packet1-b-1yNiVz7Urt147ll9mJRl,advvqa-packet1-b-1yNiVz7Urt147ll9mJRl#3,3,<b>Abuja</b>,5,5,1,0.200000,1.000000,2,0.400000,0.500000,2,0.400000,1.000000
advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo,advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo#1,1,<b>John _Steinbeck_ [accept _Steinbeck_]</b>,5,5,5,1.000000,1.000000,0,0.000000,,0,0.000000,
advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo,advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo#2,2,"<b>Absalom, Absalom</b>",5,5,4,0.800000,0.500000,1,0.200000,1.000000,0,0.000000,
advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo,advvqa-packet1-b-Cpw2itPWaf5wzgqdBbuo#3,3,<b>Treasure Island</b>,5,5,3,0.600000,1.000000,2,0.400000,0.500000,0,0.000000,
advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#1,1,<b>Middlesex</b>,5,5,1,0.200000,1.000000,2,0.400000,1.000000,2,0.400000,1.000000
advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#2,2,<b>Executioner's Song</b>,5,5,2,0.400000,0.000000,2,0.400000,1.000000,1,0.200000,1.000000
advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB,advvqa-packet1-b-IZATmmP6lpKFKDkc9MEB#3,3,<b>A Confederacy of Dunces</b>,5,5,3,0.600000,1.000000,2,0.400000,1.000000,0,0.000000,
advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#1,1,<b>Swiss</b>,5,5,2,0.400000,0.000000,2,0.400000,0.500000,1,0.200000,1.000000
advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN,advvqa-packet1-b-JCjgMXNkKeHqdl8iPsDN#2,2,<b>Qantas</b>,5,5,3,0.600000,1.000000,1,0.200000,1.000000,1,0.200000,1.000000
